kosisCode7,hjdongCode8,name
3115068,31150680,군자동
3115069,31150690,월곶동
3115064,31150640,정왕본동
3115065,31150650,정왕1동
3115061,31150610,정왕2동
1109070,11090700,미아동
3115062,31150620,정왕3동
3115072,31150720,정왕4동
3115059,31150590,과림동
3115070,31150700,연성동
3115071,31150710,장곡동
3115067,31150670,능곡동
3116051,31160510,군포1동
3116052,31160520,군포2동
1101067,11010670,창신1동
1109071,11090710,송중동
3116054,31160540,산본1동
3116055,31160550,산본2동
3116056,31160560,금정동
3116057,31160570,재궁동
3116058,31160580,오금동
3116059,31160590,수리동
3116060,31160600,궁내동
3116061,31160610,광정동
3116063,31160630,대야동
3117051,31170510,고천동
3117052,31170520,부곡동
3117053,31170530,오전동
3117054,31170540,내손1동
3117055,31170550,내손2동
3117056,31170560,청계동
3118051,31180510,천현동
1109072,11090720,송천동
3118052,31180520,신장1동
3118053,31180530,신장2동
3118054,31180540,덕풍1동
3118055,31180550,덕풍2동
3118056,31180560,덕풍3동
3118061,31180610,풍산동
3118062,31180620,미사 1동
3118063,31180630,미사 2동
3118066,31180660,감북동
3118065,31180650,위례동
3118059,31180590,춘궁동
3118060,31180600,초이동
3119111,31191110,포곡읍
3119112,31191120,모현읍
3119114,31191140,남사읍
3119113,31191130,이동읍
3119134,31191340,원삼면
1109073,11090730,삼각산동
3119135,31191350,백암면
3119136,31191360,양지면
3119151,31191510,중앙동
3119155,31191550,역북동
3119153,31191530,유림동
3119154,31191540,동부동
3119261,31192610,신갈동
3119263,31192630,영덕1동
1109060,11090600,번1동
3119252,31192520,구갈동
3119265,31192650,상갈동
3119254,31192540,기흥동
3119255,31192550,서농동
3119256,31192560,구성동
3119257,31192570,마북동
3119267,31192670,동백1동
3119260,31192600,상하동
3119259,31192590,보정동
1109061,11090610,번2동
3119351,31193510,풍덕천1동
3119352,31193520,풍덕천2동
3119353,31193530,신봉동
3119360,31193600,죽전1동
3119355,31193550,죽전2동
3119356,31193560,동천동
3119362,31193620,상현1동
3119358,31193580,상현2동
3119359,31193590,성복동
1109062,11090620,번3동
3120011,31200110,문산읍
3120012,31200120,파주읍
3120013,31200130,법원읍
3120055,31200550,교하동
3120056,31200560,운정1동
3120057,31200570,운정2동
3120058,31200580,운정3동
3120015,31200150,조리읍
1109063,11090630,수유1동
3120039,31200390,장단면
3120039,31200390,장단면
3120039,31200390,장단면
3120031,31200310,월롱면
3120032,31200320,탄현면
3120035,31200350,광탄면
3120036,31200360,파평면
3120037,31200370,적성면
3120039,31200390,장단면
3120053,31200530,금촌1동
1109064,11090640,수유2동
3120054,31200540,금촌3동
3120052,31200520,금촌2동
3121011,31210110,장호원읍
3121012,31210120,부발읍
3121031,31210310,신둔면
3121032,31210320,백사면
3121033,31210330,호법면
3121034,31210340,마장면
1101068,11010680,창신2동
1109065,11090650,수유3동
3121035,31210350,대월면
3121036,31210360,모가면
3121037,31210370,설성면
3121038,31210380,율면
3121051,31210510,창전동
3121054,31210540,증포동
3121052,31210520,중리동
3121053,31210530,관고동
1109074,11090740,우이동
3122011,31220110,공도읍
3122031,31220310,보개면
3122032,31220320,금광면
3122033,31220330,서운면
3122034,31220340,미양면
3122035,31220350,대덕면
3122036,31220360,양성면
3122038,31220380,원곡면
3122039,31220390,일죽면
3122040,31220400,죽산면
1109075,11090750,인수동
3122041,31220410,삼죽면
3122042,31220420,고삼면
3122051,31220510,안성1동
3122052,31220520,안성2동
3122053,31220530,안성3동
3123011,31230110,통진읍
3123012,31230120,고촌읍
3123013,31230130,양촌읍
3123034,31230340,대곶면
3123035,31230350,월곶면
3123036,31230360,하성면
3123061,31230610,김포본동
3123062,31230620,장기본동
3123060,31230600,운양동
3123063,31230630,구래동
3123056,31230560,장기동
3123053,31230530,사우동
3123054,31230540,풍무동
3124052,31240520,진안동
3124053,31240530,병점1동
3124054,31240540,병점2동
3124055,31240550,반월동
3124056,31240560,기배동
3124057,31240570,화산동
3124012,31240120,봉담읍
3124013,31240130,우정읍
3124031,31240310,매송면
3124033,31240330,비봉면
3124015,31240150,남양읍
3124035,31240350,마도면
3124036,31240360,송산면
3124037,31240370,서신면
3124038,31240380,팔탄면
3124039,31240390,장안면
3124014,31240140,향남읍
3124042,31240420,양감면
1110051,11100510,쌍문1동
3124043,31240430,정남면
3124070,31240700,동탄6동
3124061,31240610,동탄1동
3124060,31240600,동탄2동
3124062,31240620,동탄3동
3124064,31240640,동탄4동
3124065,31240650,동탄5동
3124067,31240670,새솔동
1110052,11100520,쌍문2동
3125011,31250511,오포1동
3125012,31250120,초월읍
3125014,31250140,곤지암읍
3125034,31250340,도척면
3125035,31250350,퇴촌면
3125036,31250360,남종면
3125038,31250380,남한산성면
3125054,31250540,경안동
3125055,31250550,송정동
3125058,31250580,광남1동
1110053,11100530,쌍문3동
3126011,31260110,백석읍
3126031,31260310,은현면
3126032,31260320,남면
3126033,31260330,광적면
3126034,31260340,장흥면
3126051,31260510,양주1동
3126052,31260520,양주2동
3126053,31260530,회천1동
1110054,11100540,쌍문4동
3126054,31260540,회천2동
3126055,31260550,회천3동
3126056,31260560,회천4동
3127011,31270110,소흘읍
3127031,31270310,군내면
3127032,31270320,내촌면
3127033,31270330,가산면
3127034,31270340,신북면
1101069,11010690,창신3동
1110055,11100550,방학1동
3127035,31270350,창수면
3127036,31270360,영중면
3127037,31270370,일동면
3127038,31270380,이동면
3127039,31270390,영북면
3127040,31270400,관인면
3127041,31270410,화현면
3127051,31270510,포천동
3127052,31270520,선단동
1110056,11100560,방학2동
3128051,31280510,여흥동
3128052,31280520,중앙동
3128053,31280530,오학동
3128031,31280310,점동면
3128011,31280110,가남읍
3128032,31280390,세종대왕면
3128033,31280330,흥천면
3128034,31280340,금사면
3128035,31280350,산북면
1110057,11100570,방학3동
3128036,31280360,대신면
3128037,31280370,북내면
3128038,31280380,강천면
3135011,31550110,연천읍
3135012,31550120,전곡읍
3135031,31550310,군남면
3135032,31550320,청산면
3135033,31550330,백학면
3135034,31550340,미산면
3135035,31550350,왕징면
3135036,31550360,신서면
3135037,31550370,중면
3135038,31550380,장남면
3137011,31570110,가평읍
3137031,31570310,설악면
3137032,31570320,청평면
1110059,11100590,창1동
3137033,31570330,상면
3137036,31570360,조종면
3137035,31570350,북면
3138011,31580110,양평읍
