sourceCode,targetCode,mappingType,ratio,description
24050512,24050512,UNCHANGED,1.0,
11060730,11060730,UNCHANGED,1.0,
24050540,24050540,UNCHANGED,1.0,
24050513,24050513,UNCHANGED,1.0,
24050514,24050514,UNCHANGED,1.0,
24050580,24050580,UNCHANGED,1.0,
24050590,24050590,UNCHANGED,1.0,
24050600,24050600,UNCHANGED,1.0,
24050515,24050515,UNCHANGED,1.0,
24050690,24050690,UNCHANGED,1.0,
24050516,24050516,UNCHANGED,1.0,
24050740,24050740,UNCHANGED,1.0,
11060890,11060890,UNCHANGED,1.0,
24050517,24050517,UNCHANGED,1.0,
24050521,24050521,UNCHANGED,1.0,
24050710,24050710,UNCHANGED,1.0,
24050630,24050630,UNCHANGED,1.0,
24050518,24050518,UNCHANGED,1.0,
24050650,24050650,UNCHANGED,1.0,
24050660,24050660,UNCHANGED,1.0,
24050670,24050670,UNCHANGED,1.0,
24050519,24050519,UNCHANGED,1.0,
11060900,11060900,UNCHANGED,1.0,
25010760,25010760,UNCHANGED,1.0,
25010770,25010770,UNCHANGED,1.0,
25010530,25010530,UNCHANGED,1.0,
25010550,25010550,UNCHANGED,1.0,
25010560,25010560,UNCHANGED,1.0,
11010600,11010600,UNCHANGED,1.0,
25010570,25010570,UNCHANGED,1.0,
25010780,25010780,UNCHANGED,1.0,
25010600,25010600,UNCHANGED,1.0,
25010630,25010630,UNCHANGED,1.0,
25010640,25010640,UNCHANGED,1.0,
25010650,25010650,UNCHANGED,1.0,
25010790,25010790,UNCHANGED,1.0,
25010680,25010680,UNCHANGED,1.0,
25010800,25010800,UNCHANGED,1.0,
25010730,25010730,UNCHANGED,1.0,
25010750,25010750,UNCHANGED,1.0,
25020510,25020510,UNCHANGED,1.0,
25020530,25020530,UNCHANGED,1.0,
25020540,25020540,UNCHANGED,1.0,
25020550,25020550,UNCHANGED,1.0,
25020560,25020560,UNCHANGED,1.0,
25020570,25020570,UNCHANGED,1.0,
25020580,25020580,UNCHANGED,1.0,
25020590,25020590,UNCHANGED,1.0,
25020600,25020600,UNCHANGED,1.0,
25020620,25020620,UNCHANGED,1.0,
25020630,25020630,UNCHANGED,1.0,
25020640,25020640,UNCHANGED,1.0,
25020650,25020650,UNCHANGED,1.0,
25020660,25020660,UNCHANGED,1.0,
11070710,11070710,UNCHANGED,1.0,
25020670,25020670,UNCHANGED,1.0,
25020680,25020680,UNCHANGED,1.0,
25020690,25020690,UNCHANGED,1.0,
25030510,25030510,UNCHANGED,1.0,
25030520,25030520,UNCHANGED,1.0,
25030530,25030530,UNCHANGED,1.0,
25030540,25030540,UNCHANGED,1.0,
25030550,25030550,UNCHANGED,1.0,
25030560,25030560,UNCHANGED,1.0,
25030570,25030570,UNCHANGED,1.0,
25030740,25030740,UNCHANGED,1.0,
25030590,25030590,UNCHANGED,1.0,
25030600,25030600,UNCHANGED,1.0,
25030610,25030610,UNCHANGED,1.0,
25030620,25030620,UNCHANGED,1.0,
25030630,25030630,UNCHANGED,1.0,
25030640,25030640,UNCHANGED,1.0,
25030650,25030650,UNCHANGED,1.0,
11070520,11070520,UNCHANGED,1.0,
25030660,25030660,UNCHANGED,1.0,
25030670,25030670,UNCHANGED,1.0,
25030680,25030680,UNCHANGED,1.0,
25030690,25030690,UNCHANGED,1.0,
25030511,25030511,UNCHANGED,1.0,
25030720,25030720,UNCHANGED,1.0,
25030730,25030730,UNCHANGED,1.0,
25030710,25030710,UNCHANGED,1.0,
11070720,11070720,UNCHANGED,1.0,
25040680,25040680,UNCHANGED,1.0,
25040640,25040640,UNCHANGED,1.0,
25040710,25040710,UNCHANGED,1.0,
25040540,25040540,UNCHANGED,1.0,
25040590,25040590,UNCHANGED,1.0,
25040660,25040660,UNCHANGED,1.0,
25040670,25040670,UNCHANGED,1.0,
25040550,25040550,UNCHANGED,1.0,
25040570,25040570,UNCHANGED,1.0,
25040610,25040610,UNCHANGED,1.0,
25040630,25040630,UNCHANGED,1.0,
25050510,25050510,UNCHANGED,1.0,
25050520,25050520,UNCHANGED,1.0,
25050530,25050530,UNCHANGED,1.0,
25050540,25050540,UNCHANGED,1.0,
25050620,25050620,UNCHANGED,1.0,
25050550,25050550,UNCHANGED,1.0,
25050560,25050560,UNCHANGED,1.0,
11070540,11070540,UNCHANGED,1.0,
25050570,25050570,UNCHANGED,1.0,
25050580,25050580,UNCHANGED,1.0,
25050590,25050590,UNCHANGED,1.0,
25050600,25050600,UNCHANGED,1.0,
25050610,25050610,UNCHANGED,1.0,
26010510,26010510,UNCHANGED,1.0,
11070550,11070550,UNCHANGED,1.0,
26010520,26010520,UNCHANGED,1.0,
26010530,26010530,UNCHANGED,1.0,
26010540,26010681,REORGANIZED,1.0,복산1동→복산동
26010550,26010681,REORGANIZED,1.0,복산2동→복산동
26010660,26010660,UNCHANGED,1.0,
26010670,26010670,UNCHANGED,1.0,
26010590,26010590,UNCHANGED,1.0,
26010600,26010600,UNCHANGED,1.0,
26010610,26010610,UNCHANGED,1.0,
11010610,11010610,UNCHANGED,1.0,
11070570,11070570,UNCHANGED,1.0,
26010620,26010620,UNCHANGED,1.0,
26010630,26010630,UNCHANGED,1.0,
26010640,26010640,UNCHANGED,1.0,
26020510,26020510,UNCHANGED,1.0,
26020520,26020520,UNCHANGED,1.0,
26020530,26020530,UNCHANGED,1.0,
26020540,26020540,UNCHANGED,1.0,
26020550,26020550,UNCHANGED,1.0,
11070590,11070590,UNCHANGED,1.0,
26020560,26020560,UNCHANGED,1.0,
26020570,26020570,UNCHANGED,1.0,
26020580,26020580,UNCHANGED,1.0,
26020590,26020590,UNCHANGED,1.0,
26020600,26020600,UNCHANGED,1.0,
26020610,26020610,UNCHANGED,1.0,
26020620,26020620,UNCHANGED,1.0,
26020630,26020630,UNCHANGED,1.0,
26020640,26020640,UNCHANGED,1.0,
11070600,11070600,UNCHANGED,1.0,
26030510,26030510,UNCHANGED,1.0,
26030520,26030520,UNCHANGED,1.0,
26030530,26030530,UNCHANGED,1.0,
26030540,26030540,UNCHANGED,1.0,
26030550,26030550,UNCHANGED,1.0,
26030610,26030610,UNCHANGED,1.0,
26030580,26030580,UNCHANGED,1.0,
26030590,26030590,UNCHANGED,1.0,
11070610,11070610,UNCHANGED,1.0,
26030600,26030600,UNCHANGED,1.0,
26040510,26040510,UNCHANGED,1.0,
26040520,26040520,UNCHANGED,1.0,
26040530,26040530,UNCHANGED,1.0,
26040540,26040540,UNCHANGED,1.0,
26040560,26040560,UNCHANGED,1.0,
26040570,26040570,UNCHANGED,1.0,
26040580,26040580,UNCHANGED,1.0,
11070620,11070620,UNCHANGED,1.0,
26040590,26040590,UNCHANGED,1.0,
26510110,26510110,UNCHANGED,1.0,
26510120,26510120,UNCHANGED,1.0,
26510130,26510130,UNCHANGED,1.0,
26510140,26510140,UNCHANGED,1.0,
26510310,26510310,UNCHANGED,1.0,
26510150,26510150,UNCHANGED,1.0,
